Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,1.79,1.89,1.78,1.87,1.87,30700
2018-08-02,1.95,1.98,1.84,1.9,1.9,43700
2018-08-03,1.96,1.96,1.76,1.79,1.79,74100
2018-08-06,1.81,1.88,1.8,1.86,1.86,27600
2018-08-07,1.86,1.92,1.84,1.9,1.9,26000
2018-08-08,1.91,1.92,1.84,1.86,1.86,14100
2018-08-09,1.85,1.96,1.71,1.91,1.91,74600
2018-08-10,1.94,1.94,1.71,1.9,1.9,19500
2018-08-13,1.8,1.88,1.77,1.77,1.77,36300
2018-08-14,1.84,1.87,1.82,1.87,1.87,19500
2018-08-15,1.86,1.86,1.82,1.84,1.84,25100
2018-08-16,1.83,1.85,1.81,1.82,1.82,25700
2018-08-17,1.82,1.86,1.82,1.84,1.84,31200
2018-08-20,1.79,1.84,1.79,1.82,1.82,33700
2018-08-21,1.81,1.83,1.72,1.79,1.79,9100
2018-08-22,1.8,1.84,1.8,1.83,1.83,8600
2018-08-23,1.79,1.83,1.79,1.8,1.8,10900
2018-08-24,1.81,1.9,1.8,1.85,1.85,41500
2018-08-27,1.86,1.87,1.8,1.8,1.8,20000
2018-08-28,1.8,1.92,1.8,1.86,1.86,49900
2018-08-29,1.88,1.9,1.86,1.9,1.9,6600
2018-08-30,1.9,1.94,1.9,1.93,1.93,37500
2018-08-31,1.95,1.95,1.89,1.95,1.95,62200
2018-09-04,1.95,1.97,1.94,1.96,1.96,59600
2018-09-05,1.93,1.96,1.93,1.93,1.93,4900
2018-09-06,1.96,2.58,1.93,2.33,2.33,1459400
2018-09-07,2.45,2.45,2.35,2.43,2.43,305600
2018-09-10,2.5,2.7,2.47,2.52,2.52,464100
2018-09-11,2.69,2.7,2.55,2.62,2.62,271100
2018-09-12,2.65,2.97,2.57,2.74,2.74,203000
2018-09-13,2.75,2.75,2.7,2.71,2.71,140600
2018-09-14,2.64,2.76,2.62,2.72,2.72,144600
2018-09-17,2.75,2.8,2.75,2.79,2.79,154100
2018-09-18,2.7,2.86,2.6,2.85,2.85,303200
2018-09-19,2.9,3.07,2.83,2.98,2.98,382300
2018-09-20,3.05,3.19,2.98,3.12,3.12,332000
2018-09-21,3.14,3.15,3.04,3.15,3.15,235800
2018-09-24,3.19,3.33,3.1,3.33,3.33,401000
2018-09-25,3.35,3.39,3.11,3.17,3.17,381000
2018-09-26,3.15,3.34,3.14,3.29,3.29,94600
2018-09-27,3.29,3.35,3.17,3.2,3.2,80000
2018-09-28,3.2,3.35,3.19,3.19,3.19,145400
2018-10-01,3.25,3.54,3.17,3.52,3.52,410100
2018-10-02,3.59,3.8,3.56,3.66,3.66,647500
2018-10-03,3.66,3.95,3.56,3.83,3.83,527200
2018-10-04,3.94,3.95,3.55,3.84,3.84,495200
2018-10-05,3.84,3.93,3.7,3.75,3.75,412700
2018-10-08,3.7,4.49,3.6,4.18,4.18,768400
2018-10-09,4.25,4.85,4.25,4.45,4.45,942400
2018-10-10,4.48,4.54,3.31,4.0,4.0,993500
2018-10-11,3.63,3.88,2.62,3.3,3.3,1081200
2018-10-12,3.7,3.7,3.2,3.4,3.4,306900
2018-10-15,3.39,3.77,3.39,3.69,3.69,682100
2018-10-16,3.77,4.22,3.69,4.18,4.18,839300
2018-10-17,4.97,4.97,4.05,4.5,4.5,732400
2018-10-18,4.6,4.71,4.43,4.51,4.51,619500
2018-10-19,4.61,5.03,4.51,4.55,4.55,679900
2018-10-22,4.65,5.05,4.55,5.04,5.04,733500
2018-10-23,4.91,4.91,4.13,4.35,4.35,755800
2018-10-24,4.41,4.6,4.2,4.23,4.23,392800
2018-10-25,4.24,4.25,3.39,3.7,3.7,705900
2018-10-26,3.64,4.17,3.53,4.06,4.06,397700
2018-10-29,4.05,4.13,3.55,3.57,3.57,355400
2018-10-30,3.51,3.9,3.31,3.75,3.75,315100
2018-10-31,3.81,3.96,3.76,3.96,3.96,250800
2018-11-01,4.0,4.01,3.54,3.73,3.73,528800
2018-11-02,3.62,3.73,3.45,3.49,3.49,190000
2018-11-05,3.49,3.63,3.36,3.54,3.54,301500
2018-11-06,3.53,3.72,3.37,3.48,3.48,201400
2018-11-07,3.6,3.8,3.41,3.8,3.8,332600
2018-11-08,3.3,3.3,2.8,2.91,2.91,726900
2018-11-09,2.81,2.9,2.42,2.47,2.47,555600
2018-11-12,2.12,2.3,2.11,2.15,2.15,604800
2018-11-13,2.15,2.2,1.9,1.92,1.92,339900
2018-11-14,1.93,2.04,1.73,1.82,1.82,294400
2018-11-15,1.71,1.89,1.67,1.76,1.76,390400
2018-11-16,1.74,1.86,1.74,1.79,1.79,378300
2018-11-19,1.74,1.78,1.62,1.7,1.7,415100
2018-11-20,1.69,1.7,1.62,1.63,1.63,245300
2018-11-21,1.62,1.75,1.62,1.67,1.67,144000
2018-11-23,1.57,1.72,1.56,1.6,1.6,132900
2018-11-26,1.74,2.08,1.73,2.08,2.08,1994500
2018-11-27,1.95,2.04,1.88,1.95,1.95,422900
2018-11-28,1.94,2.0,1.63,1.73,1.73,672900
2018-11-29,1.66,1.88,1.66,1.79,1.79,173900
2018-11-30,1.75,1.77,1.7,1.7,1.7,119300
2018-12-03,1.81,1.81,1.72,1.78,1.78,162000
2018-12-04,1.79,1.81,1.69,1.69,1.69,96900
2018-12-06,1.69,1.71,1.53,1.61,1.61,188300
2018-12-07,1.7,1.76,1.62,1.68,1.68,225900
2018-12-10,1.65,1.8,1.6,1.71,1.71,137300
2018-12-11,1.79,1.79,1.45,1.51,1.51,632400
2018-12-12,1.52,1.56,1.46,1.47,1.47,130500
2018-12-13,1.41,1.51,1.41,1.48,1.48,67700
2018-12-14,1.48,1.48,1.41,1.45,1.45,71300
2018-12-17,1.45,1.45,1.28,1.31,1.31,300900
2018-12-18,1.31,1.31,1.21,1.23,1.23,199200
2018-12-19,1.2,1.25,1.11,1.12,1.12,249900
2018-12-20,1.08,1.16,1.02,1.05,1.05,293800
2018-12-21,1.03,1.12,1.02,1.05,1.05,191100
2018-12-24,1.02,1.1,1.02,1.1,1.1,45300
2018-12-26,1.14,1.23,1.06,1.16,1.16,148200
2018-12-27,1.13,1.15,1.09,1.13,1.13,68800
2018-12-28,1.14,1.25,1.14,1.23,1.23,104800
2018-12-31,1.26,1.29,1.15,1.17,1.17,109300
2019-01-02,1.15,1.32,1.1,1.28,1.28,172600
2019-01-03,1.3,1.3,1.2,1.26,1.26,99300
2019-01-04,1.28,1.4,1.25,1.3,1.3,137800
2019-01-07,1.35,1.39,1.28,1.38,1.38,237900
2019-01-08,1.39,1.45,1.32,1.33,1.33,212400
2019-01-09,1.36,1.45,1.33,1.41,1.41,126100
2019-01-10,1.41,1.58,1.39,1.54,1.54,225300
2019-01-11,1.52,1.63,1.43,1.48,1.48,196200
2019-01-14,1.45,1.57,1.35,1.43,1.43,250100
2019-01-15,1.42,1.6,1.38,1.52,1.52,121100
