Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2018-11-02,3.62,3.73,3.45,3.49,3.49,190000,-0.06434316353887393
2018-11-05,3.49,3.63,3.36,3.54,3.54,301500,0.014326647564469885
2018-11-06,3.53,3.72,3.37,3.48,3.48,201400,-0.016949152542372947
2018-11-07,3.6,3.8,3.41,3.8,3.8,332600,0.08510638297872353
2018-11-08,3.3,3.3,2.8,2.91,2.91,726900,-0.08196721311475397
2018-11-09,2.81,2.9,2.42,2.47,2.47,555600,-0.08196721311475397
2018-11-12,2.12,2.3,2.11,2.15,2.15,604800,-0.08196721311475397
2018-11-13,2.15,2.2,1.9,1.92,1.92,339900,-0.08196721311475397
2018-11-14,1.93,2.04,1.73,1.82,1.82,294400,-0.05208333333333326
2018-11-15,1.71,1.89,1.67,1.76,1.76,390400,-0.03296703296703296
2018-11-16,1.74,1.86,1.74,1.79,1.79,378300,0.017045454545454586
2018-11-19,1.74,1.78,1.62,1.7,1.7,415100,-0.05027932960893855
2018-11-20,1.69,1.7,1.62,1.63,1.63,245300,-0.04117647058823537
2018-11-21,1.62,1.75,1.62,1.67,1.67,144000,0.024539877300613577
2018-11-23,1.57,1.72,1.56,1.6,1.6,132900,-0.041916167664670545
2018-11-26,1.74,2.08,1.73,2.08,2.08,1994500,0.08510638297872353
2018-11-27,1.95,2.04,1.88,1.95,1.95,422900,-0.0625
2018-11-28,1.94,2.0,1.63,1.73,1.73,672900,-0.08196721311475397
2018-11-29,1.66,1.88,1.66,1.79,1.79,173900,0.034682080924855585
2018-11-30,1.75,1.77,1.7,1.7,1.7,119300,-0.05027932960893855
2018-12-03,1.81,1.81,1.72,1.78,1.78,162000,0.04705882352941182
2018-12-04,1.79,1.81,1.69,1.69,1.69,96900,-0.050561797752809
2018-12-06,1.69,1.71,1.53,1.61,1.61,188300,-0.047337278106508784
2018-12-07,1.7,1.76,1.62,1.68,1.68,225900,0.04347826086956519
2018-12-10,1.65,1.8,1.6,1.71,1.71,137300,0.017857142857142794
2018-12-11,1.79,1.79,1.45,1.51,1.51,632400,-0.08196721311475397
2018-12-12,1.52,1.56,1.46,1.47,1.47,130500,-0.026490066225165587
2018-12-13,1.41,1.51,1.41,1.48,1.48,67700,0.006802721088435382
2018-12-14,1.48,1.48,1.41,1.45,1.45,71300,-0.020270270270270285
2018-12-17,1.45,1.45,1.28,1.31,1.31,300900,-0.08196721311475397
2018-12-18,1.31,1.31,1.21,1.23,1.23,199200,-0.06106870229007644
2018-12-19,1.2,1.25,1.11,1.12,1.12,249900,-0.08196721311475397
2018-12-20,1.08,1.16,1.02,1.05,1.05,293800,-0.0625
2018-12-21,1.03,1.12,1.02,1.05,1.05,191100,0.0
2018-12-24,1.02,1.1,1.02,1.1,1.1,45300,0.04761904761904767
2018-12-26,1.14,1.23,1.06,1.16,1.16,148200,0.05454545454545445
2018-12-27,1.13,1.15,1.09,1.13,1.13,68800,-0.025862068965517238
2018-12-28,1.14,1.25,1.14,1.23,1.23,104800,0.08510638297872353
2018-12-31,1.26,1.29,1.15,1.17,1.17,109300,-0.04878048780487809
2019-01-02,1.15,1.32,1.1,1.28,1.28,172600,0.08510638297872353
2019-01-03,1.3,1.3,1.2,1.26,1.26,99300,-0.015625
2019-01-04,1.28,1.4,1.25,1.3,1.3,137800,0.031746031746031855
2019-01-07,1.35,1.39,1.28,1.38,1.38,237900,0.06153846153846132
2019-01-08,1.39,1.45,1.32,1.33,1.33,212400,-0.03623188405797084
2019-01-09,1.36,1.45,1.33,1.41,1.41,126100,0.0601503759398494
2019-01-10,1.41,1.58,1.39,1.54,1.54,225300,0.08510638297872353
2019-01-11,1.52,1.63,1.43,1.48,1.48,196200,-0.038961038961038974
2019-01-14,1.45,1.57,1.35,1.43,1.43,250100,-0.03378378378378377
2019-01-15,1.42,1.6,1.38,1.52,1.52,121100,0.06293706293706292
2019-01-16,1.53,1.62,1.47,1.54,1.54,129400,0.013157894736842035
2019-01-17,1.54,1.78,1.5,1.75,1.75,256200,0.08510638297872353
2019-01-18,1.79,2.2,1.79,1.87,1.87,513300,0.06857142857142873
2019-01-22,1.9,2.07,1.85,1.89,1.89,207800,0.010695187165775222
2019-01-23,1.92,1.92,1.62,1.75,1.75,192500,-0.07407407407407407
2019-01-24,1.72,1.81,1.67,1.74,1.74,119200,-0.005714285714285672
2019-01-25,1.73,1.8,1.67,1.71,1.71,91200,-0.017241379310344862
2019-01-28,1.72,1.82,1.72,1.8,1.8,98100,0.05263157894736836
2019-01-29,1.96,1.96,1.75,1.79,1.79,300900,-0.005555555555555536
2019-01-30,1.77,1.89,1.76,1.84,1.84,176200,0.027932960893854775
2019-01-31,1.89,1.93,1.76,1.85,1.85,128300,0.005434782608695565
2019-02-01,1.85,1.85,1.73,1.74,1.74,86500,-0.05945945945945952
2019-02-04,1.71,1.74,1.6,1.69,1.69,111400,-0.028735632183908066
2019-02-05,1.7,1.73,1.66,1.68,1.68,27000,-0.00591715976331364
2019-02-06,1.65,1.66,1.49,1.55,1.55,105300,-0.07738095238095233
